date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2016-06-01,7.16,7.29,7.14,7.21,7.21,1347,-0.006934812760055475,0.01109570041608876,-0.009708737864077666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,61.85,63.5,61.35,62.75,62.75,2018,-0.014342629482071656,0.01195219123505975,-0.02231075697211149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,27.35,27.7,26.9,27.1,27.1,2382,0.009225092250922495,0.022140221402213944,-0.0073800738007381295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,5.6,5.95,5.58,5.92,5.92,241,-0.05405405405405406,0.0050675675675675436,-0.057432432432432456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2.65,2.67,2.57,2.58,2.58,268,0.027131782945736482,0.0348837209302324,-0.00387596899224818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,4.27,4.38,4.23,4.28,4.28,285,-0.00233644859813098,0.023364485981308247,-0.011682242990654124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,14.78,15.0,14.68,14.72,14.72,3888,0.0040760869565217295,0.01902173913043481,-0.0027173913043478937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,172.0,172.9,169.8,170.4,170.4,700,0.009389671361502261,0.01467136150234749,-0.0035211267605633756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.65,0.66,0.64,0.65,0.65,981,0.0,0.01538461538461533,-0.015384615384615441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,4.77,4.79,4.69,4.75,4.75,992,0.004210526315789442,0.008421052631578885,-0.012631578947368327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02,7.25,7.35,7.17,7.25,7.25,1347,0.0,0.01379310344827589,-0.011034482758620734,0.0,0.00554785020804438,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02,63.05,65.0,63.0,64.8,64.8,2018,-0.027006172839506126,0.0030864197530864335,-0.02777777777777779,0.0,0.03266932270916323,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02,26.95,27.45,26.95,27.25,27.25,2382,-0.011009174311926606,0.007339449541284404,-0.011009174311926606,0.0,0.005535055350553542,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02,5.96,5.96,5.8,5.9,5.9,241,0.010169491525423568,0.010169491525423568,-0.016949152542372947,0.0,-0.0033783783783782884,0.0,0.0,0.0,0.0,0.0,0.0
